"","Sample","Date.x","Filter_type","Filter_size","Filter_box_nr","Filter_blank","Volume","Date.y","Day","Treatment","C","N","O","Na","Mg","Al","Si","P","S","Cl","K","Ca","Mn","Fe","Cu","As"
"25","COM025","09.12.2019 14:37:03","PC",0.8,1,NA,1000,2019-10-07,1,"uZ1",-264.830750581056,-4.22211629127573,17.0654310968954,6.30193036969812,0.562500317861814,28.7150188822416,28.3561936422201,0.0310908522046923,0.054168167220246,1.86144287053352,6.24853700426459,4.43174061841202,0.110862054809713,0.337284292766219,0.108389559572914,0.0944659663581194
"26","COM026","09.12.2019 14:47:57","PC",0.8,1,NA,1000,2019-10-07,1,"uZ2",-265.191591856742,-4.35824276556543,17.4519551533918,6.29951395948997,0.391776681821576,29.5417465904409,28.8242060010028,0.0258278239317977,0.026009458440933,0.461334492299475,6.34794079730097,4.49853209513028,0.111065004701356,0.327762309721346,0.107415806292662,0.0925739027534701
"27","COM027","09.12.2019 14:58:53","PC",0.8,1,NA,1000,2019-10-07,1,"uZ3",-264.98669203688,-4.20894276150576,17.1155723165344,6.33796821159554,0.59815107982804,28.5389674082209,28.3549364434234,0.0274359714596266,0.0484049877313455,1.54396045955567,6.25491588254285,4.47470918430793,0.110196379165123,0.325312755209376,0.108576195618295,0.0939253767567911
"28","COM028","09.12.2019 15:09:47","GFF",NA,1,NA,1000,2019-10-07,1,"K1",3.08013085404905,0.258804970272556,-0.968041744922373,-0.141639729393021,0.258465734056303,-0.717385826592955,-0.634905146294013,0.0170500795904106,0.0498082072331304,1.26082853759579,-0.0675440266937297,0.249643288212047,0.000259775861303247,0.0404427001708198,0.000371243438095987,0.000157878614455223
"29","COM029","09.12.2019 15:20:42","GFF",NA,1,NA,1000,2019-10-07,1,"K2",2.41538506677907,0.270640563425265,-0.953436044306807,-0.141401659421775,0.229752747780634,-1.15129270087318,-0.851587803545809,0.0161208261609777,0.0447971436610582,1.06325262824457,-0.0114939422813,0.0148146176899506,-0.000592613683598005,0.0503099769694526,-0.000480790682124308,-0.00069268208855224
"30","COM030","09.12.2019 15:31:38","GFF",NA,1,NA,1000,2019-10-07,1,"K3",2.03116768332495,0.246969377119848,-1.11244243451338,-0.086758649271454,0.336558460953458,-2.0710162316104,-1.36275975468901,0.0159556255513007,0.0578971043871749,2.0445570275447,-0.126743416666186,-0.0278033194157329,-0.0013313512891791,0.0385699893416022,0.000687713254177814,0.000996040473395528
"31","COM031","09.12.2019 15:43:51","GFF",NA,1,NA,1000,2019-10-07,1,"NPC1",378.023032218474,4.13141104983874,-18.3309071437003,-6.44339948227841,-0.239261653370598,-24.2842060421454,-29.0163626992377,-0.0121078280175746,0.00263483974099244,0.029454211187954,-6.3497098225131,-4.43130398633363,-0.111744210338722,-0.306069737426287,-0.105820609078694,-0.092282943212694
"32","COM032","09.12.2019 15:56:11","GFF",NA,1,NA,1000,2019-10-07,1,"NPC2",405.293233863338,5.19188019632141,-17.8153409693942,-6.45530298084073,-0.232891846992735,-37.7149233864453,-28.8385643118391,-0.00523135263977071,0.00533661536455052,-0.0323016557206771,-6.34420916137752,-4.30564656668363,-0.102879359071749,-0.108894817190784,-0.104130741406924,-0.0899891570602687
"33","COM033","09.12.2019 16:08:33","GFF",NA,1,NA,1000,2019-10-07,1,"NPC3",418.487301423062,5.31970460237066,-17.7795043019045,-6.47516991994124,-0.231081063108712,-34.7178513669812,-28.8568042768725,0.00156252243319467,0.0048674556785678,-0.0696016482151936,-6.34515820248331,-4.33366379171352,-0.104657200122543,-0.141860214976254,-0.105362133575909,-0.0908967524459851
"34","COM034","09.12.2019 16:20:51","GFF",NA,1,NA,1000,2019-10-07,1,"uZ1",409.31579811451,5.23922256893225,-17.9007165595903,-6.4781517463311,-0.244724541007222,-29.5332790373199,-28.9611771749533,-0.0103732216159664,0.00433987922234598,-0.0547291086262658,-6.35107908580007,-4.44925882664795,-0.109536115517644,-0.265690679633611,-0.106650328019575,-0.0926226715401343
"35","COM035","09.12.2019 16:33:09","GFF",NA,1,NA,1000,2019-10-07,1,"uZ2",422.764826932386,5.60849307529675,-17.9901576540815,-6.48837089984685,-0.251885229385021,-49.0981127551837,-29.0499049324531,0.0146546707500945,0.0067550475669185,-0.0301048369548396,-6.35072968758201,-4.4683647878962,-0.101450591834581,-0.304152341523053,-0.100160668137231,-0.0843625616225895
"36","COM036","09.12.2019 16:45:21","GFF",NA,1,NA,1000,2019-10-07,1,"uZ3",379.437037413404,4.30184359123774,-18.352589833274,-6.47837791280379,-0.246633040041817,-25.2786649330378,-29.0496382539204,-0.0117774267982206,-0.000466725653889424,-0.0564207356201685,-6.35204701329603,-4.47214231693801,-0.112150110122008,-0.301731222967275,-0.107045915289677,-0.0935699432268657
"37","COM037","09.12.2019 16:57:40","PC",0.8,2,NA,1000,2019-10-08,2,"K1",-1.93430869768211,-0.0204921574199552,0.0485350944854016,-0.0290504882413371,0.00200926778362118,-5.97492637488848,0.0805228068793777,0.00667015735974491,0.00188272382416412,-0.146865371638065,0.002090093844936,0.0847419066075344,0.00393452189932199,0.0636870632180724,0.00231739756348807,0.00377999426127612
